Trait	intercept	lambdaGC	mean_chisq	h2
Height	1.2448	1.7648	2.6901	0.3941
BMI	1.0767	1.4637	1.6356	0.1667
MCV	1.0574	1.1619	1.4092	0.153
Platelet	1.0622	1.2299	1.4334	0.1565
DBP	1.0421	1.1651	1.2176	0.0605
SBP	1.0538	1.194	1.2776	0.0769
WBC	1.042	1.1876	1.2795	0.1024
RBC	1.0496	1.1973	1.3276	0.1203
Hemoglobin	1.0335	1.1459	1.1956	0.0702
Hematocrit	1.0349	1.1555	1.2084	0.0752
MCH	1.0574	1.1619	1.4092	0.1536
MCHC	1.0486	1.1082	1.1786	0.0571
Lymphocyte	1.0315	1.1082	1.1445	0.0844
Monocyte	1.0566	1.1175	1.1723	0.0888
Neutrophil	1.0138	1.1207	1.1715	0.1191
Eosinophil	1.0579	1.105	1.1639	0.0785
Basophil	1.0792	1.1175	1.1669	0.0684
Urate	1.0361	1.1587	1.4131	0.1395
HBA1C	1.042	1.0895	1.1373	0.1057
EGFR	1.0923	1.2798	1.4059	0.101
CRP	1.1767	1.1908	1.2083	0.0202
Triglyceride	1.0324	1.1301	1.2944	0.1171
HDL	1.0565	1.1523	1.285	0.159
LDL	1.0293	1.0833	1.1464	0.0745
Cholesterol	1.0416	1.1144	1.2128	0.0629
