Trait	intercept	lambdaGC	mean_chisq	h2
Height	1.3409	1.9839	1.9839	0.7336
BMI	1.1635	1.4132	1.4132	0.2656
MCV	1.1029	1.2585	1.2585	0.2818
Platelet	1.1153	1.2681	1.2681	0.2436
DBP	1.0586	1.1505	1.1505	0.1267
SBP	1.0744	1.1895	1.1895	0.1604
WBC	1.0529	1.1757	1.1757	0.2266
RBC	1.0792	1.1928	1.1928	0.2068
Hemoglobin	1.0669	1.1227	1.1227	0.0752
Hematocrit	1.0652	1.1284	1.1284	0.0928
MCH	1.1029	1.2585	1.2585	0.2831
MCHC	1.0834	1.1253	1.1253	0.065
Lymphocyte	1.0374	1.0948	1.0948	0.1757
Monocyte	1.066	1.1144	1.1144	0.1549
Neutrophil	1.0283	1.1028	1.1028	0.2114
Eosinophil	1.0584	1.1155	1.1155	0.1973
Basophil	1.0826	1.1284	1.1284	0.1548
Urate	1.0571	1.276	1.276	0.3462
HBA1C	1.0656	1.1009	1.1009	0.1308
EGFR	1.1475	1.2711	1.2711	0.1225
CRP	1.1586	1.1956	1.1956	0.1625
Triglyceride	1.0599	1.2095	1.2095	0.267
HDL	1.1574	1.2394	1.2394	0.1838
LDL	1.0465	1.1029	1.1029	0.1438
Cholesterol	1.0718	1.1579	1.1579	0.1268
