Trait	Z
Basophil	0.7178523874861981
BMI	0.2371317984856723
DBP	-0.5065606663195839
Eosinophil	-1.3203824672458624
Hematocrit	-0.8499107431389552
Lymphocyte	-1.4564356254111823
MCHC	-0.8912398091433372
MCH	-1.6606334693682254
MCV	-1.192443657215345
Monocyte	0.6096978277045665
Neutrophil	1.150691701473564
Platelet	-0.3356770512619317
RBC	-0.9950481778238663
SBP	-1.5986774779185116
WBC	0.6502990279377759
Hemoglobin	-1.2006768592794417
Urate	-1.564694203739925
Height	-0.6397149330171656
CRP	0.4561820532827256
EGFR	-0.18820320231832
LDL	-0.14947695683122597
HDL	0.5601255502417922
Cholesterol	-0.4955238356647254
Triglyceride	0.6278297789444913
HBA1C	-0.39654093176524485
