Trait	intercept	lambdaGC	mean_chisq	h2
Height_norm	1.6499	2.6022	4.9131	0.3675
BMI_norm	1.2628	2.1112	2.7791	0.1757
MCV_norm	1.2142	1.5845	2.604	0.163
Platelet_norm	1.2999	1.7101	2.9579	0.1992
DBP_norm	1.1714	1.6108	1.9568	0.094
SBP_norm	1.1676	1.6145	1.9682	0.0954
WBC_norm	1.2178	1.5622	2.1091	0.0962
RBC_norm	1.2999	1.7295	2.6984	0.1574
Hemoglobin_norm	1.2507	1.5771	2.3419	0.1177
Hematocrit_norm	1.2591	1.5659	2.2693	0.1078
MCH_norm	1.1708	1.489	2.3566	0.1361
MCHC_norm	1.0893	1.1973	1.3781	0.0317
Lymphocyte_norm	1.0816	1.2431	1.4623	0.0402
Monocyte_norm	1.1848	1.4069	1.8837	0.0788
Neutrophil_norm	1.22	1.5995	2.2153	0.1102
Eosinophil_norm	1.2241	1.4316	2.2599	0.1055
Basophil_norm	1.0781	1.1731	1.3102	0.025
Urate_norm	1.2044	1.6296	2.2581	0.1217
HBA1C_norm	1.1712	1.4709	1.965	0.0906
EGFR_norm	1.2562	1.7179	2.6466	0.1521
CRP_norm	1.0918	1.2365	1.403	0.0354
Triglyceride_norm	1.2064	1.5437	2.0978	0.1061
HDL_norm	1.2517	1.6985	2.5546	0.1599
LDL_norm	1.1267	1.3272	1.8183	0.0802
Cholesterol_norm	1.1314	1.3719	1.9542	0.0954
