Trait	intercept	lambdaGC	mean_chisq	h2
Height_norm	1.6098	2.6022	4.9131	0.4815
BMI_norm	1.2227	2.1112	2.7767	0.2349
MCV_norm	1.2548	1.5845	2.6017	0.1902
Platelet_norm	1.3534	1.7101	2.9579	0.2447
DBP_norm	1.1698	1.6108	1.9568	0.1203
SBP_norm	1.1874	1.6145	1.9682	0.1201
WBC_norm	1.2174	1.5622	2.1068	0.125
RBC_norm	1.3734	1.7295	2.6937	0.1933
Hemoglobin_norm	1.314	1.5771	2.3407	0.1433
Hematocrit_norm	1.3067	1.5659	2.2681	0.1352
MCH_norm	1.1872	1.489	2.3507	0.1597
MCHC_norm	1.1071	1.1973	1.3781	0.0364
Lymphocyte_norm	1.0902	1.2431	1.4623	0.0501
Monocyte_norm	1.2368	1.4069	1.8837	0.0955
Neutrophil_norm	1.2324	1.5995	2.2153	0.1391
Eosinophil_norm	1.2416	1.4316	2.2599	0.1375
Basophil_norm	1.0817	1.1731	1.3102	0.0315
Urate_norm	1.1966	1.6296	2.2546	0.155
HBA1C_norm	1.2231	1.4709	1.965	0.1083
EGFR_norm	1.2451	1.7179	2.6466	0.1999
CRP_norm	1.109	1.2365	1.4006	0.0414
Triglyceride_norm	1.2625	1.5437	2.0967	0.1204
HDL_norm	1.3543	1.6985	2.542	0.1768
LDL_norm	1.1996	1.3272	1.8113	0.0859
Cholesterol_norm	1.2279	1.3719	1.9472	0.0974
