est_win	rho	pve	Observed_scale_h2	h2add	mae	sem_mae	h2_sem
0	0.2	0.3	0.180614	0.06	0.12061400000000001	0.0020371499302662627	0.002037149930266262
0	0.4	0.3	0.207596	0.12	0.08759600000000001	0.002293402888303929	0.0022934028883039312
0	0.6	0.3	0.241323	0.18	0.06132300000000001	0.00217873833150558	0.00217873833150558
0	0.8	0.3	0.272833	0.24	0.03620100000000001	0.002312912150549955	0.0027745473941571527
10	0.2	0.3	-0.047456	0.06	0.107456	0.0033398216609981926	0.0033398216609981934
10	0.4	0.3	0.042790999999999996	0.12	0.07757499999999999	0.0035745535498587903	0.0036537193157635726
10	0.6	0.3	0.13487400000000002	0.18	0.04624199999999999	0.003295756432846103	0.0034484745917725728
10	0.8	0.3	0.214065	0.24	0.036586999999999995	0.0027922239262898408	0.0038109879349591267
20	0.2	0.3	0.031007000000000003	0.06	0.033059	0.002282457958721985	0.0027853426806202586
20	0.4	0.3	0.09827999999999999	0.12	0.029837999999999996	0.002056187400569955	0.0029078622089539637
20	0.6	0.3	0.16990100000000002	0.18	0.023536999999999995	0.0018155922065833114	0.0028039324820038664
20	0.8	0.3	0.234329	0.24	0.027454999999999997	0.001983376049960157	0.003350050593617653
50	0.2	0.3	0.098119	0.06	0.039109000000000005	0.0022924972467295635	0.0024551626476188135
50	0.4	0.3	0.14619	0.12	0.029004000000000002	0.002179404478014092	0.002513692804451553
50	0.6	0.3	0.200475	0.18	0.026285000000000003	0.0018126376645734535	0.002455575957454439
50	0.8	0.3	0.25210009104000003	0.24	0.027828091040000006	0.0019076449739639447	0.003159501100299434
100	0.2	0.3	0.127538	0.06	0.067538	0.0023401764502237474	0.0023401764502237474
100	0.4	0.3	0.166688	0.12	0.047206	0.0023400633765051334	0.002442781276257938
100	0.6	0.3	0.213843	0.18	0.03514900000000001	0.0021917800961544914	0.0023904051704236
100	0.8	0.3	0.259488	0.24	0.029932000000000004	0.002125407568757892	0.003119441895175119
